epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,282.229,1.77724,2.14196,1.53064,0.62983,0.29145,0.23263,0.1107,1.67299,1.60677,1.46998,0.00998876,0.00332959,0.00998876,0.00332959,0.00998876,0.00332959,0.00998876,0.00332959
2,539.26,1.68807,1.53326,1.4416,0.65767,0.13426,0.19023,0.07667,1.73984,1.72194,1.54679,0.0197909,0.00659696,0.0197909,0.00659696,0.0197909,0.00659696,0.0197909,0.00659696
3,771.848,1.73761,1.57303,1.53243,0.55712,0.19303,0.18092,0.07764,1.74595,1.70227,1.68827,0.029395,0.00979833,0.029395,0.00979833,0.029395,0.00979833,0.029395,0.00979833
4,998.418,1.7332,1.55419,1.56062,0.57419,0.20022,0.22247,0.09983,1.68537,1.4925,1.66182,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1228.33,1.65984,1.40594,1.51416,0.58901,0.20017,0.24882,0.11782,1.61238,1.27036,1.6101,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1453.26,1.61735,1.33905,1.49413,0.47649,0.28022,0.28919,0.13492,1.57466,1.23921,1.5617,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1681.34,1.57576,1.25716,1.47294,0.4604,0.32265,0.31469,0.15846,1.55448,1.15607,1.55964,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1907.47,1.55812,1.22129,1.44893,0.50543,0.3694,0.33715,0.16783,1.54587,1.12527,1.54867,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2139.57,1.53881,1.18578,1.43939,0.58958,0.35072,0.3447,0.16917,1.54175,1.08153,1.52398,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2372.4,1.52708,1.1565,1.4333,0.75544,0.26816,0.33808,0.18161,1.51011,1.09497,1.51096,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2599.73,1.50293,1.12186,1.42192,0.35417,0.36518,0.36892,0.18667,1.51806,1.05092,1.53669,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2824.17,1.48927,1.10312,1.41077,0.60685,0.37156,0.38104,0.20264,1.52598,1.01585,1.53947,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3049.06,1.48862,1.09263,1.40562,0.51888,0.32586,0.33943,0.18647,1.51136,1.09229,1.5161,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3274.42,1.45903,1.0637,1.38604,0.62903,0.42334,0.39507,0.2131,1.4815,0.98636,1.5048,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3500.64,1.45283,1.04815,1.3838,0.65231,0.39442,0.40016,0.20422,1.50489,0.98019,1.53193,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3723.22,1.44927,1.03264,1.38486,0.59995,0.41618,0.41046,0.22291,1.48894,0.95111,1.50738,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3944.19,1.4334,1.01437,1.37219,0.62947,0.41105,0.39713,0.22103,1.44748,0.94852,1.46574,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4167.48,1.43461,1.00153,1.3637,0.75593,0.38544,0.42039,0.23138,1.47014,0.95551,1.49248,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4394.17,1.42625,1.00454,1.37394,0.64216,0.40589,0.42366,0.23153,1.48032,0.92072,1.50768,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,4619.43,1.41658,0.98319,1.36216,0.81391,0.39911,0.43651,0.23938,1.45806,0.92484,1.4834,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4845.42,1.40812,0.96204,1.35695,0.65287,0.45732,0.44399,0.24245,1.44357,0.89729,1.4767,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,5072.62,1.39914,0.95748,1.34937,0.82633,0.39994,0.43389,0.25031,1.43947,0.87925,1.47137,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5297.97,1.39301,0.94361,1.34931,0.70873,0.41866,0.43781,0.25031,1.45197,0.86679,1.48638,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,5522.19,1.38214,0.92775,1.34263,0.7643,0.39609,0.44122,0.25232,1.4528,0.84025,1.49043,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,5746.29,1.37386,0.91669,1.33924,0.66048,0.46074,0.46272,0.26418,1.43939,0.85216,1.47221,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,5979.86,1.37251,0.90998,1.33339,0.7278,0.42255,0.44384,0.25376,1.43863,0.85962,1.47207,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,6205.14,1.35772,0.89869,1.32766,0.66956,0.44237,0.45591,0.26262,1.43973,0.83949,1.47754,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,6432.4,1.35075,0.88759,1.32347,0.72003,0.42231,0.45931,0.27168,1.42964,0.82928,1.46819,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,6663.79,1.34576,0.88425,1.31647,0.7093,0.46655,0.46265,0.27012,1.43459,0.82211,1.4681,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,6893.16,1.3451,0.87939,1.31878,0.71114,0.42079,0.44684,0.26352,1.43445,0.81527,1.47848,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,7125.41,1.33864,0.86681,1.31449,0.69831,0.42287,0.44143,0.25781,1.43883,0.81192,1.47973,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,7354.69,1.32669,0.85194,1.30769,0.60475,0.47791,0.4638,0.27317,1.4361,0.80081,1.47364,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,7581.84,1.32101,0.84878,1.30173,0.72492,0.47036,0.46714,0.2674,1.43948,0.79995,1.47283,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7808.21,1.31564,0.83989,1.29943,0.67794,0.43913,0.4517,0.2647,1.44016,0.79567,1.47632,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,8038.39,1.30585,0.8376,1.2946,0.65192,0.48306,0.45894,0.27006,1.44298,0.79346,1.48283,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,8264.55,1.30065,0.82134,1.29324,0.54587,0.45488,0.46981,0.27256,1.43252,0.79464,1.47394,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,8491.39,1.29182,0.81563,1.28871,0.67992,0.43188,0.44992,0.27042,1.43962,0.78681,1.48121,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,8720.82,1.28842,0.80785,1.28719,0.59953,0.43268,0.46246,0.27589,1.428,0.77901,1.47684,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8947.24,1.28011,0.7992,1.28399,0.54687,0.46393,0.46535,0.27789,1.44308,0.77041,1.49042,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,9177,1.26978,0.78306,1.27467,0.69011,0.50186,0.50616,0.2923,1.45192,0.76694,1.49516,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,9406.04,1.26339,0.7803,1.27787,0.71158,0.46518,0.5007,0.29626,1.44508,0.76806,1.49176,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,9630.24,1.2568,0.77493,1.27078,0.58111,0.47312,0.50672,0.30402,1.448,0.76148,1.49218,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,9862.98,1.24883,0.76962,1.2621,0.71529,0.47004,0.4876,0.28853,1.44584,0.75979,1.4914,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,10088.8,1.24219,0.75573,1.26187,0.66435,0.4832,0.48945,0.2847,1.45011,0.7521,1.49636,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,10315.5,1.22998,0.74984,1.25557,0.71166,0.47836,0.48963,0.28871,1.4473,0.75672,1.49322,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,10542.9,1.22743,0.74557,1.24869,0.54868,0.48804,0.48577,0.288,1.45272,0.75321,1.50119,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,10769,1.2216,0.73557,1.24834,0.67959,0.50589,0.478,0.28693,1.45909,0.74955,1.50713,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,10992.2,1.21392,0.73535,1.24512,0.70702,0.50045,0.4875,0.28806,1.45798,0.7523,1.5093,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,11220,1.19961,0.72645,1.2398,0.72139,0.45709,0.48886,0.28974,1.45549,0.75032,1.50886,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,11443.4,1.18802,0.71348,1.22763,0.72091,0.44632,0.48382,0.28971,1.46205,0.7508,1.51319,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,11675.3,1.18643,0.70865,1.22644,0.72542,0.44512,0.48029,0.2878,1.46018,0.74836,1.51032,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,11900.6,1.17525,0.69856,1.21464,0.72977,0.46013,0.48579,0.28929,1.46051,0.74941,1.51009,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,12132.4,1.16372,0.69569,1.21489,0.72851,0.45632,0.47543,0.28243,1.46386,0.74929,1.51723,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,12355.3,1.15372,0.67852,1.21087,0.58442,0.47396,0.46858,0.28016,1.46422,0.74777,1.52154,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,12580.2,1.14683,0.68118,1.20237,0.59751,0.47637,0.47698,0.28437,1.46559,0.74673,1.52716,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,12807.6,1.13667,0.66898,1.20077,0.72647,0.46505,0.49023,0.29093,1.46966,0.74693,1.53476,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,13028.9,1.12581,0.66657,1.19202,0.70994,0.47529,0.49368,0.29269,1.46804,0.74665,1.53575,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,13255.1,1.12005,0.6557,1.19449,0.71802,0.47881,0.49037,0.2928,1.4683,0.74712,1.53875,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,13483.6,1.10789,0.64643,1.1847,0.7265,0.46415,0.4885,0.29091,1.47018,0.74725,1.54279,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,13710.1,1.10693,0.64232,1.17533,0.67801,0.49792,0.48995,0.29279,1.47456,0.74736,1.54934,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,13938.2,1.08729,0.62371,1.17053,0.64328,0.49781,0.48787,0.29332,1.47456,0.74553,1.55099,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,14170.8,1.07991,0.63271,1.16817,0.6416,0.53041,0.49628,0.29693,1.47763,0.74514,1.55536,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,14394.3,1.07503,0.6198,1.16446,0.62113,0.51897,0.48772,0.29567,1.47912,0.74577,1.55804,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,14620.5,1.06151,0.61298,1.15918,0.66252,0.49955,0.4883,0.29481,1.4809,0.74795,1.56161,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,14843.2,1.05305,0.60862,1.15158,0.67466,0.49846,0.48653,0.2953,1.48396,0.74913,1.56619,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,15066.4,1.0474,0.60361,1.1489,0.67576,0.50293,0.48547,0.29322,1.4868,0.75165,1.5714,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,15292.5,1.03417,0.59521,1.14241,0.66685,0.5002,0.47766,0.28931,1.48979,0.75469,1.57532,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,15520.7,1.02461,0.58488,1.13653,0.59539,0.51655,0.4738,0.28528,1.4927,0.75531,1.58095,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,15740.3,1.01711,0.58271,1.13402,0.63428,0.4906,0.47614,0.28557,1.49391,0.75452,1.58389,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,15968.1,1.00343,0.57184,1.12604,0.63438,0.49752,0.47527,0.28427,1.49518,0.75526,1.5872,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,16192.1,0.99723,0.56776,1.1234,0.63727,0.49931,0.4739,0.28308,1.4964,0.75753,1.59022,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,16415.2,0.97713,0.55656,1.10722,0.65256,0.50009,0.46879,0.28247,1.49741,0.75879,1.59336,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,16642.5,0.97698,0.55243,1.10859,0.65477,0.50064,0.46671,0.2793,1.49937,0.75762,1.59683,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,16867.5,0.96405,0.544,1.10327,0.66334,0.5038,0.46654,0.27808,1.5011,0.75738,1.60001,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,17090.8,0.95523,0.54188,1.09659,0.66172,0.50257,0.46604,0.27859,1.50219,0.75878,1.60245,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,17313.1,0.95147,0.53593,1.0942,0.6635,0.50328,0.46481,0.27947,1.50316,0.75932,1.60512,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,17537.6,0.93469,0.53068,1.0882,0.66241,0.49872,0.4635,0.27744,1.50549,0.76013,1.60953,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,17765,0.92411,0.5223,1.08004,0.65918,0.50041,0.46402,0.27743,1.5072,0.76099,1.6127,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,17990.6,0.92287,0.51731,1.07781,0.66148,0.50129,0.46469,0.27816,1.50775,0.76217,1.61492,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,18215.4,0.90219,0.51057,1.07165,0.65894,0.49755,0.46046,0.27648,1.50894,0.76396,1.61794,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,18439.4,0.89304,0.504,1.06153,0.65757,0.50173,0.46181,0.27689,1.50927,0.76565,1.62009,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,18671.8,0.88799,0.50413,1.06502,0.65902,0.4996,0.4614,0.27637,1.51035,0.76637,1.6231,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,18898.6,0.8822,0.50238,1.06164,0.65929,0.49902,0.46136,0.27616,1.51068,0.76659,1.62555,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,19122.5,0.87038,0.4902,1.05435,0.65845,0.49894,0.4616,0.2753,1.51123,0.76785,1.62795,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,19348.9,0.8591,0.48514,1.04555,0.65694,0.497,0.46152,0.27584,1.51231,0.76855,1.63074,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,19577.3,0.8556,0.48197,1.04529,0.65322,0.49941,0.46016,0.2749,1.51285,0.76941,1.63316,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,19796.4,0.83888,0.4745,1.03522,0.65753,0.49488,0.46121,0.27503,1.51438,0.77181,1.63674,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,20025.1,0.83047,0.47011,1.03221,0.658,0.49454,0.45989,0.27455,1.51529,0.77198,1.63944,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,20251,0.82355,0.46362,1.02925,0.65871,0.49601,0.4592,0.27404,1.51617,0.77251,1.64253,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,20479.8,0.8103,0.45718,1.02082,0.65864,0.49517,0.45752,0.27375,1.5168,0.77357,1.64528,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,20704.3,0.75465,0.37378,1.02338,0.66554,0.50049,0.46046,0.2743,1.51828,0.7746,1.64874,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,20929.2,0.71674,0.35202,1.00382,0.66666,0.49976,0.45713,0.27198,1.51884,0.77585,1.65154,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
