epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,175.442,1.87644,3.0237,1.61778,0.71587,0.23913,0.23047,0.11276,1.67086,1.61197,1.44985,0.00998876,0.00332959,0.00998876,0.00332959,0.00998876,0.00332959,0.00998876,0.00332959
2,305.627,1.71454,1.82231,1.42501,0.63588,0.16854,0.23011,0.10558,1.71266,1.71088,1.46978,0.0197909,0.00659696,0.0197909,0.00659696,0.0197909,0.00659696,0.0197909,0.00659696
3,416.38,1.76033,1.68482,1.45868,0.59489,0.15036,0.1794,0.08464,1.74475,1.69817,1.51847,0.029395,0.00979833,0.029395,0.00979833,0.029395,0.00979833,0.029395,0.00979833
4,526.905,1.7558,1.64134,1.48863,0.69004,0.15398,0.22222,0.10456,1.67792,1.47642,1.49539,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,635.91,1.69552,1.49855,1.46284,0.70988,0.21624,0.22525,0.10504,1.79288,1.56895,1.60405,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,746.103,1.6629,1.4325,1.44683,0.7681,0.23214,0.26307,0.12609,1.70146,1.36718,1.54417,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,855.633,1.62957,1.37702,1.42107,0.43219,0.31024,0.29593,0.14852,1.61158,1.2969,1.4649,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,964.198,1.61633,1.3322,1.41399,0.46163,0.26595,0.26602,0.13567,1.63042,1.29445,1.49899,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1066.73,1.59564,1.30138,1.39833,0.3996,0.33163,0.30553,0.15883,1.59486,1.22687,1.45836,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1176.77,1.58557,1.27562,1.4001,0.67354,0.26693,0.33256,0.17859,1.52374,1.15941,1.431,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
